Dataset,Model,Accuracy,Precision,Recall,Note
Accidents,NaiveBayes,0.8213,0.8784,0.7967,Success
Accidents,KNN,0.798,0.8131,0.7816,Success
Accidents,DecisionTree,0.8275,0.8665,0.8066,Success
Accidents,LogReg,0.8212,0.8781,0.7966,Success
Accidents,MLP,0.8279,0.8643,0.8075,Success
Flights,NaiveBayes,0.9338,0.9241,0.8748,Success
Flights,KNN,0.7954,0.692,0.5893,Success
Flights,DecisionTree,0.9413,0.9323,0.8902,Success
Flights,LogReg,0.9032,0.9354,0.7807,Success
Flights,MLP,0.8226,0.9076,0.5896,Success
